title,author,cover,pages,publisher,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
The Witch Who Lives Down the Hall,"Donna Guthrie (Author), Amy Schwartz (Illustrator)",Hardcover,32,Harcourt Brace Jovanovich,1985,4.1,86,38,26,16,5,1,1
The Sixteen Hand Horse,Fred Gwynne,Hardcover,44,Simon,1979,4.14,86,37,31,11,7,0,1
Snakes on the Job,Kathryn Dennis,Hardcover,32,Feiwel,2020,3.22,85,4,21,51,8,1,0
Bark in the Park!: Poems for Dog Lovers,"Avery Corman, Hyewon Yum (Illustrations)",Hardcover,48,Orchard,2019,3.7800000000000002,85,20,30,32,2,1,0
How Emily Saved the Bridge: The Story of Emily Warren Roebling and the Building of the Brooklyn Bridge,"Frieda Wishinsky, Natalie Nelson (Illustrations)",Hardcover,32,Groundwood,2019,3.92,85,25,34,21,4,1,0
The Little Fox Who Lost His Tail,Jedda Robaard,Hardcover,12,little bee,2015,3.3899999999999997,85,8,27,40,10,0,0
Georgia Rises: A Day in the Life of Georgia O'Keeffe,"Kathryn Lasky, Ora Eitan (Illustrator)",Hardcover,40,Farrar Straus and Giroux,2009,3.55,85,19,23,31,10,2,0
Thunder Bunny,Barbara Helen Berger,Hardcover,32,Philomel,2007,3.55,85,24,22,22,11,6,0
Annie's Chair,Deborah Niland,Hardcover,32,Walker Childrens,2006,3.68,85,22,19,39,5,0,0
What Do You Love?,"Jonathan London, Karen Lee Schmidt (Illustrator)",Board Book,30,HMH Books for Young Readers,2004,3.86,85,20,39,20,6,0,0
Only the Cat Saw,Ashley Wolff,Paperback,32,Walker,1996,4.1499999999999995,85,39,27,14,3,2,1
The Twelve Cats of Christmas,Kandy Radzinski,Hardcover,26,Chronicle,1992,4,85,34,21,26,4,0,0
"Oh, A-Hunting We Will Go","John Langstaff, Nancy W. Parker (Illustrator)",Paperback,32,Aladdin,1991,4.09,85,33,30,19,3,0,1
The Totally Awesome Epic Quest of the Brave Boy Knight,Pranas T. Naujokaitis (Author) (Illustrations),Hardcover,40,Blue Apple,2011,3.62,85,17,30,31,3,4,0
Rossignol,"Benjamin Lacombe, Sébastien Pérez",Hardcover,34,Editions Du Seuil,2011,3.79,85,25,29,22,6,3,0
A Practical Guide to Dragon Magic,"Susan J. Morris (Author) (Editor), Emily Fiegenshuh (Illustrator)",Hardcover,80,Mirrorstone,2010,4.46,85,57,15,9,3,1,1
When the Moon is Full,Penny Pollock,Hardcover,32,Little Brown Books for Young Readers,2001,4.13,85,32,34,18,0,1,1
As Long As There Are Mountains,Natalie Kinsey-Warnock,Paperback,144,Puffin,2001,3.75,85,24,26,28,4,3,0
Toad on the Road: Mama and Me,Stephen Shaskan,Hardcover,32,HarperCollins,2018,3.58,84,18,23,34,8,1,0
Harry Goes to Dog School,Scott Menchin,Hardcover,32,Balzer,2012,3.2,84,6,22,41,13,2,0
Ode to Icky,"Maranda Russell (Author), Nicolás Peruzzo",Paperback,28,Mirror Publishing,2011,3.8499999999999996,84,31,25,15,10,3,0
The Twelve Days of Christmas,Jane Ray,Hardcover,32,Candlewick,2011,3.96,84,27,33,19,4,1,0
"The Autism Sourcebook: Everything You Need to Know About Diagnosis, Treatment, Coping, and Healing--from a Mother Whose Child Recovered","Karen Siff Exkorn, Fred R. Volkmar",Paperback,432,William Morrow Paperbacks,2006,3.9299999999999997,84,22,42,14,4,2,0
When I Was a Boy . . . I Dreamed,"Justin Matott (Author), Mark Ludy (Illustrator)",Hardcover,32,Green Pastures Publishing,2004,4.4,84,51,21,8,3,1,1
Rachel: The Story of Rachel Carson,"Amy Ehrlich, Wendell Minor (Illustrator)",Hardcover,32,HMH Books for Young Readers,2003,3.8299999999999996,84,20,35,24,5,0,0
A Picture Book of Sacagawea,"David A. Adler, Dan Brown (Illustrator)",Paperback,28,Holiday House,2001,3.55,84,16,30,26,8,4,0
5 Worlds Book 4: The Amber Anthem,"Mark Siegel (Author), Xanthe Bouma (Contributor), Matt Rockefeller (Contributor), Boya Sun (Contributor)",Hardcover,240,Random House Books for Young Readers,2020,4.57,84,57,19,7,1,0,1
"The Good Son: A Story from the First World War, Told in Miniature","Pierre-Jacques Ober (Author), Jules Ober (Illustrations), Felicity Coonan (Illustrations)",Hardcover,104,Candlewick Studio,2019,4.54,84,54,23,5,2,0,1
Okie Dokie Donuts: Open for Business!,Chris Eliopoulos (Author),Hardcover,48,Top Shelf Productions,2011,3.06,84,6,18,36,23,1,0
Mia's Story,Michael Foreman,Paperback,32,Walker,2007,3.92,84,24,34,21,5,0,0
The House in the Snow,"M.J. Engh, Leslie W. Bowman (Illustrator)",Paperback,132,Scholastic,1990,3.62,84,21,19,36,7,1,0
Box Turtle at Long Pond,"William T. George, Lindsay Barrett George (Illustrator)",Hardcover,32,Greenwillow,1989,3.9,84,26,27,28,3,0,0
Fiddlesticks And Freckles: The Forest Frolics Of Two Funny Fawns,Sam Campbell,NA,243,AB Pub,1983,4.35,84,46,22,15,1,0,1
Billie Jean!: How Tennis Star Billie Jean King Changed Women's Sports,"Mara Rockliff (Author), Elizabeth Baddeley (Illustrations)",Hardcover,40,GP Putnam,2019,4.08,83,26,40,15,2,0,1
Lunar New Year,"Hannah Eliot, Alina Chau (Illustrations)",Board Book,24,Little Simon,2018,3.86,83,19,36,25,3,0,0
"Hello, Baby Animals",Lorinda Bryan Cauley,Hardcover,32,Dial,2018,3.4299999999999997,83,9,30,34,8,2,0
"Ariel Bradley, Spy for General Washington",Lynda Durrant (Author),Paperback,56,Vanita,2013,3.71,83,19,30,26,7,1,0
Through the Milky Way on a PB&J,James McDonald (Author),Kindle Edition,50,House of Lore,2013,4.14,83,46,16,11,7,3,1
Queen of the Track: Alice Coachman Olympic High-Jump Champion,"Heather Lang (Author), Floyd Cooper (Illustrator)",Hardcover,32,Boyds Mill,2012,4.04,83,27,35,18,3,0,1
Queen Victoria's Underpants,"Jackie French, Bruce Whatley (Illustrator)",Hardcover,32,HarperCollins,2010,4.04,83,27,33,22,1,0,1
10 Trim-the-Tree'ers,"Janet Schulman, Linda Davick (Illustrator)",Hardcover,32,Knopf Books for Young Readers,2010,3.24,83,10,24,28,18,3,0
"She Sang Promise: The Story of Betty Mae Jumper, Seminole Tribal Leader","Jan Godown Annino, Lisa Desimini (Illustrator), Moses Jumper (Foreword)",Hardcover,48,National Geographic Children,2010,4.07,83,29,35,15,4,0,1
Nobody,"Liz Rosenberg (Author), Julie Downing (Illustrator)",Hardcover,32,Roaring Brook,2010,3.6,83,21,25,22,13,2,0
Goldilocks and the Three Bears,Valeri Gorbachev,Paperback,40,NorthSouth,2003,3.69,83,16,32,30,3,2,0
"Merry Christmas, Davy!","Brigitte Weninger, Eve Tharlet (Illustrator), Rosemary Lanning (Translator)",Hardcover,32,NorthSouth,1998,4.02,83,33,24,21,5,0,1
Old Mother Hubbard and Her Wonderful Dog,"Sarah Catherine Martin, James Marshall (Illustrator)",Paperback,32,Farrar Straus Giroux,1993,3.3,83,11,19,38,14,1,0
Mr. Lunch Takes a Plane Ride,"J. Otto Seibold, Vivian Walsh",Hardcover,NA,Viking Juvenile,1993,4.159999999999999,83,35,30,15,2,1,1
Sergio Aragonés: The Groo Houndbook,Sergio Aragonés,NA,NA,NA,NA,4.18,83,30,38,15,0,0,1
Duck Says Don't,"Alison Ritchie, Hannah George (Illustrator)",Hardcover,26,Good,2012,3.65,83,13,31,36,3,0,0
Marvel Her-Oes,"Grace Randolph (Text), Craig Rousseau (Illustrator)",Paperback,208,Marvel,2010,3.25,83,10,17,41,14,1,0
Dracula Madness,"Mary Labatt, Jo Rioux (Author)",Hardcover,96,NA,2009,3.6,83,17,27,28,11,0,0
The Wee Christmas Cabin of Carn-na-ween,"Ruth Sawyer, Max Grafe (Illustrator)",Hardcover,40,Candlewick,2005,3.9899999999999998,83,27,36,14,4,2,0
The Groo Houndbook,"Sergio Aragonés, Mark Evanier (Trainer, Deobscurant), M.E. (credit lines, Logolept), Stan Sakai (Letterer), Tom Luth (Colorist), Janice Cohen (Colorist)",Paperback,96,Dark Horse Comics,1999,4.18,83,30,38,15,0,0,1
The Sorely Trying Day,"Russell Hoban, Lillian Hoban (Illustrator)",Hardcover,32,Harper,1964,4.07,83,37,22,18,5,1,1
Mystery in the Pirate Oak,Helen Fuller Orton,Paperback,114,Scholastic Book Services,1964,3.72,83,19,27,33,3,1,0
Matthew Looney's Voyage to the Earth,"Jerome Beatty Jr., Gahan Wilson (Illustrator)",Hardcover,134,William R Scott,1961,4.2,83,34,33,15,1,0,1
Colors,"Shelley Rotner, Anne Woodhull",Hardcover,32,Holiday House,2019,3.9,82,21,34,25,2,0,0
Robot Kitties,Jim Benton,Board Book,16,Cartwheel,2015,3.57,82,15,26,33,7,1,0
Abigail and Her Pet Zombie,Marie F. Crow (Author),Kindle Edition,NA,Marie F Crow Publishing,2013,4.159999999999999,82,43,18,16,1,4,1
Paris-Chien: Adventures of an Expat Dog,Jackie Clark Mancuso (Author),Hardcover,32,LA LIBRAIRIE PARISIENNE,2012,4.01,82,32,27,18,2,3,1
The Worst Twelve Days of Christmas,"Ryan Wood (Illustrator), Sudipta Bardhan-Quallen (Author)",Hardcover,32,Harry N Abrams,2011,3.34,82,16,18,29,16,3,0
How To Speak Moo!,Deborah Fajerman (Author),Paperback,32,Red Fox,2003,4.09,82,32,31,14,4,1,1
Thunderhoof,Syd Hoff,Hardcover,32,HarperCollins Publishers,1999,3.79,82,22,30,22,7,1,0
Laura Charlotte,"Kathryn O. Galbraith, Floyd Cooper (Illustrator)",Paperback,NA,Puffin,1997,4.24,82,36,33,11,1,1,1
Clive Eats Alligators,Alison Lester,Paperback,34,Houghton Mifflin,1991,4.06,82,31,28,20,3,0,1
Pigs in Hiding,Arlene Dubanevich,Paperback,32,Scholastic,1989,4.2,82,40,24,13,4,1,1
The Marvelous Mud Washing Machine,"Patty Wolcott, Richard Brown (Illustrator)",Hardcover,24,Addison Wesley Publishing Company,1974,4.430000000000001,82,53,15,11,2,1,1
Die dumme Augustine,Otfried Preußler,Hardcover,28,Thienemann Verlag,1972,3.72,82,27,22,21,7,5,0
"Reed Gunther, Vol. 1: The Bear-Riding Cowboy","Shane Houghton (Author), Chris Houghton",Paperback,184,Image,2011,3.7800000000000002,82,18,36,21,6,1,0
Balloon Toons: Rick & Rack and the Great Outdoors,Ethan Long (Illustrations),Hardcover,40,Blue Apple,2010,3.4099999999999997,82,9,29,33,9,2,0
"Marvel Adventures The Avengers, Volume 1: Heroes Assembled","Jeff Parker (Text), Manuel García",Paperback,96,Marvel,2006,3.7600000000000002,82,18,35,22,5,2,0
Dance Steps,Beatrice Masini,Paperback,139,EL,2005,3.82,82,22,32,20,7,1,0
Nijntje in het museum,Dick Bruna,Paperback,24,Mercis,1997,3.94,82,25,30,24,3,0,0
The Story of May,Mordicai Gerstein,Paperback,48,HarperCollins Publishers,1995,4.55,82,55,20,5,1,1,1
"It's Not a Bed, It's a Time Machine","Mickey Rapkin, Teresa Martínez (Illustrator)",Hardcover,NA,Imprint,2019,3.4299999999999997,81,14,16,43,7,1,0
Wild Horse Annie: Friend of the Mustangs,"Tracey E. Fern, Steven Salerno (Illustrations)",Hardcover,48,Farrar Straus and Giroux,2019,4.09,81,28,37,12,3,1,1
Luis and Tabitha,"Stephanie Campisi (Author), Hollie Mengert (Illustrator)",Hardcover,32,Familius,2018,4.319999999999999,81,39,29,13,0,0,1
Help! The Wolf is coming!,Vincent Bourgeau,Board Book,22,Gecko,2015,3.84,81,22,30,24,4,1,0
The Good Dog,"Todd Kessler, Jennifer Gray Olson (Author) (Illustrations)",Hardcover,107,IPG,2015,3.84,81,31,20,19,8,3,0
Monsters Vs Kittens,Dani Jones (Author),Paperback,32,Stan Lee,2013,4.09,81,35,23,20,1,2,1
Polo and the Magic Flute,"Régis Faller, Régis Faller",Hardcover,32,Roaring Brook,2009,3.8899999999999997,81,22,30,27,2,0,0
An Angel Just Like Me,"Mary Hoffman (Illustrations), Cornelius Van Wright (Illustrations), Ying-Hwa Hu (Illustrations)",Paperback,32,Frances Lincoln Children,2007,4.119999999999999,81,28,38,13,1,1,1
I Walk at Night,"Lois Duncan, Steve Johnson (Illustrator), Lou Fancher (Illustrator)",Hardcover,32,Viking Juvenile,2000,3.9899999999999998,81,26,36,14,2,3,0
Africa Dream,"Eloise Greenfield, Carole M. Byard (Illustrator)",Paperback,32,HarperCollins,1991,3.8899999999999997,81,25,28,22,6,0,0
Whisper the Winged Unicorn,"Katherine Wilson-Heaney, Katherine L. Wilson (Illustrator)",Paperback,24,Antioch Publishing Company,1983,4.09,81,33,27,17,3,1,1
Rocket Robinson and the Pharaoh's Fortune,Sean O'Neill,Ebook,NA,BoilerRoom Studios,2013,3.86,81,19,41,14,5,2,0
"Darkwing Duck, Vol. 4: Campaign Carnage","Ian Brill, James Silvani (Illustrator)",Paperback,128,KaBOOM,2012,3.86,81,23,32,20,4,2,0
"Legion of Super-Heroes Archives, Vol. 3","Edmond Hamilton, Curt Swan (Illustrator)",Hardcover,224,DC Comics,1997,4.1,81,32,28,18,3,0,1
Flute's Journey: The Life of a Wood Thrush,Lynne Cherry,Hardcover,40,HMH Books for Young Readers,1997,4.09,81,34,24,21,0,2,1
The Crane Maiden,"Miyoko Matsutani, Alvin Tresselt (Translator), Chihiro Iwasaki (Illustrator)",Hardcover,32,Macmillan Publishing Company,1968,4.41,81,43,30,7,0,1,1
My Friend Earth,"Patricia MacLachlan, David Díaz (Illustrations), Francesca Sanna (Illustrations)",Hardcover,44,Chronicle,2020,4.29,80,36,32,11,1,0,1
"Happy Birthday, Alice Babette","Monica Kulling (Author), Qin Leng (Illustrations)",Hardcover,32,Groundwood,2016,3.7,80,14,32,30,4,0,0
Ten Thankful Turkeys,"Angela Muse (Author), Ewa Podles (Illustrator)",Paperback,28,4EYESBOOKS,2014,4.38,80,49,18,9,2,2,1
Nat the Cat's Sunny Smile,Jez Alborough (Author),Hardcover,32,Doubleday Childrens,2013,3.51,80,14,29,23,12,2,0
The Twelve Days of Christmas,Susan Jeffers,Hardcover,40,HarperCollins,2013,3.3,80,10,20,36,12,2,0
What Does It Mean To Be Green?,"Rana DiOrio, Chris Blair (Illustrator)",Hardcover,32,Little Pickle Stories,2010,3.84,80,26,27,19,4,4,0
Big Cat Pepper,"Elizabeth Partridge, Lauren Castillo (Author) (Illustrator)",Hardcover,32,Bloomsbury,2009,3.61,80,16,28,27,7,2,0
Tickets to Ride: An Alphabetic Amusement,Mark Rogalski,Hardcover,64,Running Press Kids,2006,4.359999999999999,80,47,20,8,5,0,1
My Daddy and Me,"Jerry Spinelli, Seymour Chwast (Illustrator)",Paperback,40,Dragonfly,2006,3.69,80,22,19,32,6,1,0
Larabee,Kevin Luthardt,Hardcover,32,Peachtree Publishing Company,2004,3.7,80,16,30,29,4,1,0
Kipper and Roly,Mick Inkpen,Hardcover,32,HMH Books for Young Readers,2001,4.05,80,31,24,23,2,0,1
Mr. Bell's Fixit Shop,Ronne Randall,NA,NA,Golden,1981,4.6899999999999995,80,63,9,8,0,0,1
Le Petit Prince,"Agnès de Lestrade, Valeria Docampo",Hardcover,NA,Alice,2018,4.5,80,46,29,4,1,0,1
The Cloud Princess,Khoa Le,Hardcover,24,Insight Kids,2016,3.69,80,21,23,26,10,0,0
How to Grow a Dinosaur,"Caryl Hart (Author), Ed Eaves (Illustrator)",Paperback,32,Simon,2011,4.1499999999999995,80,38,25,10,5,2,1
Kaya's Short Story Collection,Janet Beeler Shaw,Hardcover,240,American Girl Publishing Inc,2006,3.9099999999999997,80,28,24,22,5,1,0
"My Book House, Volumes 1-12",Olive Beaupré Miller,Hardcover,NA,The United Educators,1971,4.74,80,63,13,4,0,0,1
When You Need Wings,Lita Judge (Author),Hardcover,40,Atheneum Books for Young Readers,2020,4.08,79,32,23,22,2,0,1
All the Way to the Top: How One Girl's Fight for Americans with Disabilities Changed Everything,"Annette Bay Pimentel (Author), Jennifer Keelan-Chaffins (Foreword), Nabigal-Nayagam Haider Ali (Illustrations)",Hardcover,32,Sourcebooks Explore,2020,4.29,79,34,34,11,0,0,1
Cavekid Birthday,"Cathy Breisacher, Roland Garrigue (Contributor)",Hardcover,32,Charlesbridge Publishing,2019,4.13,79,39,19,14,6,1,1
Evelyn the Adventurous Entomologist: The True Story of a World-Traveling Bug Hunter,"Christine Evans (Author), Yasmin Imamura (Illustrations)",Hardcover,40,Innovation,2019,4.52,79,47,26,6,0,0,1
Born to Swing: Lil Hardin Armstrong's Life in Jazz,"Mara Rockliff (Author), Michele Wood (Author) (Illustrator)",Hardcover,32,Calkins Creek,2018,3.8,79,12,42,22,3,0,0
Pibbin the Small: A Tale of Friendship Bog,"Gloria Repp (Author), Michael Swaim (Illustrator)",Paperback,122,Createspace Independent Publishing Platform,2011,4.1,79,39,19,12,8,1,1
The Cat and the Fiddle: A Treasury of Nursery Rhymes,Jackie Morris (Author) (Illustrations),Hardcover,64,Frances Lincoln Children,2011,4.44,79,48,19,11,1,0,1
Henry the Christmas Cat,"Mary Calhoun, Erick Ingraham (Illustrator)",Hardcover,32,HarperCollins,2004,3.4099999999999997,79,12,22,32,12,1,0
A Tiny Family,Norman Bridwell,Paperback,32,Scholastic,1999,3.7600000000000002,79,21,24,28,6,0,0
It's Mine,Gina Mayer,Hardcover,NA,Reader,1993,3.8899999999999997,79,29,20,24,4,2,0
Masterpiece Mix,Roxie Munro (Author),Hardcover,32,Holiday House,2017,3.56,79,9,34,28,8,0,0
"Going, Going, Dragon!","Colleen A.F. Venable (Author) (Illustrations), Stephanie Yue (Illustrations)",Hardcover,48,Graphic Universe,2013,4.159999999999999,79,35,26,14,4,0,1
The Boy Who Drew Cats: A Japanese Folktale,Arthur A. Levine,Hardcover,NA,Dial,1994,4.04,79,31,26,16,6,0,1
Highland Rebel,"Sally Watson, Scott Maclain (Illustrator)",Hardcover,212,Holt Rinehart and Winston,1954,4.18,79,30,33,16,0,0,1
Ada and the Number-Crunching Machine,Zoë Tucker,Hardcover,32,NorthSouth,2019,4.1,78,29,28,21,0,0,1
Freeda the Cheetah,J.T.K. Belle (Author),Kindle Edition,25,Picklefish,2017,4.42,78,44,25,7,2,0,1
The Terrible Suitcase,"Emma Allen, Freya Blackwood (Illustrator)",Hardcover,32,Omnibus,2012,3.96,78,23,37,12,4,2,0
My Baby & Me,"Lynn Reiser, Penny Gentieu (Illustrator)",Hardcover,32,Alfred A Knopf,2008,3.71,78,14,34,25,3,2,0
Bark Park,Karen Gray Ruelle,Hardcover,30,Peachtree Publishing Company,2008,3.3699999999999997,78,12,17,37,12,0,0
Women Daredevils,"Julie Cummins, Cheryl Harness (Illustrations)",Hardcover,48,Dutton Books for Young Readers,2008,3.6,78,10,35,25,8,0,0
The Christmas Cobwebs,"Odds Bodkin, Terry Widener (Illustrations)",Hardcover,32,HMH Books for Young Readers,2001,3.9899999999999998,78,22,35,19,2,0,0
I Lost My Tooth!,Hans Wilhelm,Paperback,32,Scholastic,1999,3.64,78,22,12,38,6,0,0
Mittens,Clare Turlay Newberry,Hardcover,28,Smithmark Pub,1998,4.23,78,37,26,11,4,0,1
Boo Who? A Spooky Lift-the-Flap Book,Joan Holub (Author),Hardcover,24,Cartwheel,1997,4.14,78,34,26,14,3,1,1
The Reindeer Christmas,"Moe Price, Atsuko Morozumi (Illustrations)",Paperback,32,HMH Books for Young Readers,1997,3.94,78,24,31,19,2,2,0
The Boy Who Drew Cats: A Japanese Folktale,"Arthur A. Levine, Frédéric Clément (Illustrator)",Hardcover,32,Dial,1994,4.04,78,31,25,16,6,0,1
The Kids' Cat Book,Tomie dePaola,Paperback,32,Holiday House,1988,3.67,78,15,31,23,9,0,0
Viminy Crowe's Comic Book,"Marthe Jocelyn (Author), Richard Scrimger, Claudia Davila (Illustrations)",Hardcover,336,Tundra,2014,3.59,78,19,22,26,8,3,0
Power Pack Classic Volume 1,"Louise Simonson (Text), June Brigman, Mark Badger, Brent Anderson, Mary Wilshire",Paperback,256,Marvel,2009,3.86,78,21,29,25,2,1,0
To the Cafeteria... for Justice!,Aaron Williams,Paperback,160,Dork Storm,2005,4.359999999999999,78,37,32,9,0,0,1
Little Pierre: A Cajun Story from Louisiana,"Robert D. San Souci, David Catrow (Illustrator)",Hardcover,32,HMH Books for Young Readers,2003,3.8299999999999996,78,19,35,16,8,0,0
Moving Molly,Shirley Hughes (Author),Paperback,32,Red Fox,1991,4.14,78,31,30,15,1,1,1
Part -Time Dog,"Jane Thayer, Seymour Fleishman (Illustrator)",Hardcover,34,William Morrow,1965,4.08,78,35,18,21,4,0,1
Grumpy Cat's First Worst Christmas (Grumpy Cat),"Christy Webster, Steph Laberis (Illustrator)",Hardcover,32,Golden,2017,3.9499999999999997,77,28,25,17,6,1,0
The Hidden World of Fairies,Tennant Redbank,Hardcover,32,Disney,2008,4.35,77,43,18,16,0,0,1
Sally's Snow Adventure,Stephen Huneck,Hardcover,32,Harry N Abrams,2006,3.53,77,17,19,30,10,1,0
When I Was a Girl . . . I Dreamed,"J.P. Matott, Justin Matott (Author), Mark Ludy (Illustrator)",Hardcover,32,Green Pastures Publishing,2005,4.4,77,43,23,10,1,0,1
When Cows Come Home for Christmas,Dori Chaconas,Hardcover,32,Albert Whitman,2005,3.7,77,17,26,28,6,0,0
Dear Santa: The Letters of James B. Dobbins,"Bill Harley (Author), R.W. Alley (Author) (Illustrator)",Hardcover,32,HarperCollins Publishers,2005,4,77,26,31,15,4,1,0
K is For Kitten,"Niki Clark Leopold, Susan Jeffers (Illustrations)",Hardcover,32,Putnam Juvenile,2002,3.94,77,26,26,19,6,0,0
"Merry Christmas, Space Case",James Marshall,Paperback,32,Puffin,2001,3.51,77,17,19,29,10,2,0
The Aristocats,"Richard M. Sherman, Robert B. Sherman, Walt Disney Company",Paperback,24,Hal Leonard Publishing Corporation,1996,4.23,77,36,28,8,5,0,1
The Worst Person's Christmas,James Stevenson,Hardcover,30,Greenwillow,1991,3.66,77,16,28,26,5,2,0
Minou,"Mindy Bingham, Itoko Maeno (Illustrator)",Hardcover,64,Advocacy,1987,4.319999999999999,77,41,22,12,2,0,1
"Mickey Mouse Color Sundays, Vol. 1: Call of the Wild",Floyd Gottfredson,Hardcover,280,Fantagraphics,2013,4.08,77,29,29,16,2,1,1
Around Our Way on Neighbors' Day,"Tameka Fryer Brown (Author), Charlotte Riley-Webb (Illustrator)",Hardcover,32,Harry N Abrams,2010,3.69,77,19,22,29,7,0,0
No Need for Tenchi!,Hitoshi Okuda,Paperback,176,Viz Media,2007,4.01,77,29,24,20,4,0,1
The Chocolate Cat,"Sue Stainton, Anne Mortimer (Illustrator)",Hardcover,32,Katherine Tegen,2007,3.61,77,17,22,30,7,1,0
The Little Family,Lois Lenski,Hardcover,56,Random House Books for Young Readers,2002,3.71,77,14,34,23,5,1,0
Molly and the Magic Wishbone,Barbara McClintock (Author),Hardcover,32,Farrar Straus Giroux,2001,3.7800000000000002,77,19,27,27,3,1,0
"Legion of Super-Heroes Archives, Vol. 5","Jim Shooter, Curt Swan (Illustrator)",Hardcover,224,DC Comics,1998,4.1899999999999995,77,27,39,10,1,0,1
"Legion of Super-Heroes Archives, Vol. 4","Jerry Siegel, Bob Kahan (Editor)",Hardcover,224,DC Comics,1997,4.03,77,29,26,17,5,0,1
The Treasure is the Rose,Julia Cunningham,Paperback,NA,Scholastic,1973,3.9,77,27,25,16,8,1,0
The Tooth Fairy,Shirley Barber,NA,NA,NA,NA,4.22,77,38,25,10,1,3,1
"A Girl Called Genghis Khan: How Maria Toorpakai Wazir Pretended to Be a Boy, Defied the Taliban, and Became a World Famous Squash Player","Michelle Lord (Author), Shehzil Malik (Illustrations)",Hardcover,48,Sterling Children,2019,4.05,76,19,42,15,0,0,1
Stand There! She Shouted: The Invincible Photographer Julia Margaret Cameron,"Susan Goldman Rubin, Bagram Ibatoulline (Illustrations)",Hardcover,80,Candlewick,2014,3.71,76,8,41,25,1,1,0
101 Favorite Stories from the Bible,"Ura Miller, Gloria Oostema (Illustrator)",Hardcover,215,New Leaf Publishing Group,2007,4.03,76,34,21,13,5,3,1
Bessie Smith and the Night Riders,"Sue Stauffacher, John Holyfield (Illustrations)",Hardcover,32,GP Putnam,2006,4,76,26,30,16,2,2,0
The Surprise Doll,Morrell Gipson,Hardcover,46,Purple House,2005,4.58,76,55,15,2,3,1,1
The Silent Witness: A True Story of the Civil War,"Robin Friedman, Claire A. Nivola (Illustrator)",Hardcover,32,HMH Books for Young Readers,2005,4,76,23,35,15,1,2,0
Pizza Kittens,Charlotte Voake,NA,40,Not Avail,2003,2.82,76,5,13,30,19,9,0
Ruth Law Thrills a Nation,Don Brown,Paperback,32,HMH Books for Young Readers,1995,3.9899999999999998,76,19,40,14,3,0,0
Amos: The Story of an Old Dog and His Couch,"Susan Seligson, Howie Schneider",Paperback,32,Little Brown and Company,1992,4.53,76,49,18,9,0,0,1
Fred,Posy Simmonds,Hardcover,22,Knopf Books for Young Readers,1988,4.159999999999999,76,35,21,18,1,1,1
Anno's Britain,Mitsumasa Anno,Paperback,48,Philomel,1985,4.26,76,35,28,11,2,0,1
Rudolph the Red-Nosed Reindeer Shines Again,Darrell Baker,NA,NA,Golden,1982,3.74,76,24,15,31,5,1,0
The Christmas Anna Angel,"Ruth Sawyer, Kate Seredy (Illustrator)",Paperback,48,Viking Children,1944,3.3,76,11,20,27,17,1,0
Tails Chasing Tails,Matthew Porter (Author),Board Book,20,Sasquatch,2013,3.9099999999999997,76,18,35,21,2,0,0
Batman: The Brave and the Bold,"Matt Wayne, J. Torres (Author), Dan Davis (Illustrator), Carlo Barberi (Illustrator), Andy Suriano (Illustrator), Phil Moy (Illustrator), Terry Beatty (Illustrator)",Paperback,128,DC Comics,2010,3.3699999999999997,76,13,20,30,8,5,0
The Firebird: A Russian Folktale,Demi,Hardcover,32,Henry Holt,1994,4.18,76,36,22,15,2,1,1
Why the Chimes Rang,"Raymond Macdonald Alden, Mayo Bunker (Illustrator)",Hardcover,38,Clerisy,1994,4.319999999999999,76,45,17,8,5,1,1
Anatole and the Piano,"Eve Titus, Paul Galdone (Illustrator)",Paperback,NA,Bantam Books for Young Readers,1990,4.21,76,32,29,14,1,0,1
The Forbidden Door,Marilee Heyer,Hardcover,32,Viking Kestrel,1988,4.46,76,47,19,9,0,1,1
Ant and Bee: An Alphabetical Story for Tiny Tots,Angela Banner,Hardcover,109,Trafalgar Square Publishing,1988,4.25,76,38,22,13,3,0,1
The Enchanted Apples of Oz,Eric Shanower (Author),Paperback,48,First Comics Inc,1986,4.05,76,31,23,18,3,1,1
The Wicked Enchantment,Margot Benary-Isbert,Paperback,160,Ace,1986,3.9899999999999998,76,26,27,20,2,1,0
Edith and Little Bear Lend a Hand,Dare Wright,Hardcover,57,Random House,1972,4.37,76,46,18,8,2,2,1
"Cody Harmon, King of Pets","Claudia Mills (Author), Rob Shepperson (Illustrations)",Hardcover,144,Farrar Straus and Giroux,2016,3.75,75,16,28,28,2,1,0
Imogen: The Mother of Modernism and Three Boys,"Amy Novesky (Author), Lisa Congdon (Illustrations)",Hardcover,32,Cameron,2012,3.8899999999999997,75,19,31,23,2,0,0
Little Quack Loves Colors,"Lauren Thompson (Author), Derek Anderson (Illustrator)",Board Book,26,Little Simon,2009,3.65,75,21,20,25,5,4,0
"Stella, Unleashed: Notes from the Doghouse","Linda Ashman (Author), Paul Meisel (Illustrations)",Hardcover,40,Sterling,2008,3.9699999999999998,75,23,29,21,2,0,0
Priscilla and the Hollyhocks,"Anne Broyles, Anna Alter (Author)",Hardcover,32,Charlesbridge,2008,4,75,24,32,14,5,0,0
